ts,iso,hour_bucket,symbol,market_id,mark_price,index_price,last_trade_price,basis_bps,open_interest,oi_notional,daily_quote_volume,daily_base_volume,daily_trades,daily_price_low,daily_price_high,daily_price_change,funding_rate,funding_exchange,funding_clamp_small,funding_clamp_big,base_interest_rate,best_bid,best_ask,spread_bps,bid_sz_l1,ask_sz_l1,bid_base_top50,ask_base_top50,depth_imb_top50,bid_notional_band,ask_notional_band,depth_imb_band
1788710407,2026-09-06T16:00:07.099668+00:00,2026-09-06T16,ASTS,47,62.725,62.685,62.588,6.381,99.408,6235.37,42158.588834,673.883,57,62.181,63.005,-0.4833683139349997,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788710407,2026-09-06T16:00:07.099668+00:00,2026-09-06T16,AAPL,10,321.7,321.61,321.73,2.798,1950.8359,627583.91,1401027.101926,4354.434,7524,321.38,322.02,0.027989426216762557,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788710407,2026-09-06T16:00:07.099668+00:00,2026-09-06T16,SPCX,18,150.37,150.35,150.36,1.33,12141.2871,1825685.34,2339159.142925,15546.0658,11243,149.38,151.18,0.48115477145148355,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788710407,2026-09-06T16:00:07.099668+00:00,2026-09-06T16,ETH,0,2479.68,2479.72,2479.84,-0.161,6211.6521,15402909.48,41205759.582773,16530.5596,44995,2462.0,2524.42,-0.07012877093283357,9.599999999999999e-05,lighter,0.05,4.0,0.01,2479.57,2479.84,1.089,0.05,0.05,300.4637,376.5699,-0.1124,744793.28,934336.37,-0.1129
1788710407,2026-09-06T16:00:07.099668+00:00,2026-09-06T16,AMD,29,477.43,476.64,477.49,16.574,531.9878,253986.94,107991.106443,226.4305,141,475.18,478.66,0.3341038033200252,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788710407,2026-09-06T16:00:07.099668+00:00,2026-09-06T16,XAG,41,66.237,66.2172,66.2311,2.99,40644.04,2692139.28,2871927.831073,43368.83,4573,66.1082,66.3199,-0.015247308321709148,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788710407,2026-09-06T16:00:07.099668+00:00,2026-09-06T16,BABA,19,113.13,113.21,113.16,-7.067,2529.0651,286113.13,100985.462857,889.0349,2892,113.14,113.94,-0.22923646623170515,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788710407,2026-09-06T16:00:07.099668+00:00,2026-09-06T16,WULF,55,16.527,16.527,16.455,0.0,299.866,4955.89,5171.882655,313.531,8,16.455,16.528,-0.3934624697336562,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788710407,2026-09-06T16:00:07.099668+00:00,2026-09-06T16,USO,22,141.89,141.89,142.18,0.0,1252.8905,177772.63,5605.225847000001,39.4908,13,141.66,142.18,0.2679830747531735,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788710407,2026-09-06T16:00:07.099668+00:00,2026-09-06T16,QBTS,51,16.678,16.684,16.601,-3.596,616.79,10286.82,13524.859908,812.287,83,16.527,16.696,0.23547880690737832,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
